Claart,Fecncre,Cant,Clacli,Clatipcli
01ALAM,06/02/21,100.0,MRSZI0042,0
01ALREC,06/02/21,50.0,MRSZI0042,0
01VAR112,06/02/21,5.0,MRSZI0042,0
01VAR38,06/02/21,50.0,MRSZI0042,0
03LG41020,06/02/21,2.0,MRSZI0042,0
01ARM124,06/02/21,6.0,MRSZI046,0
05PEGAD500,08/02/21,1.0,MRS2043,0
03POL44,08/02/21,210.0,MRSZI046,0
01BLO15,09/02/21,120.0,MRS2043,0
05LAVB,10/02/21,1.0,MRS2043,0
03VCUA12,10/02/21,7.0,MRS2043,0
03PC10018,11/02/21,5.8,MRSZI046,0
03PP20018,11/02/21,11.6,MRSZI046,0
04HCOMBO,12/02/21,1.0,MRS2043,0
03TM1834,12/02/21,3.2,MEPJ79,0
05COPPVCH2,13/02/21,10.0,MRS2043,0
05TPVC402,13/02/21,2.0,MRS2043,0
06CLA4,13/02/21,4.0,MRSZI0096,0
03PR20018,15/02/21,21.5,MRSZI046,0
01EST1525,15/02/21,54.0,RUTR7,0
04HDILA,15/02/21,3.0,MRS31,3
03PERC050,16/02/21,11.2,MRSZI046,0
01BLO10,17/02/21,1.0,MRS2434,0
03TM21218,17/02/21,12.0,VIZM61,1
01COMB34,17/02/21,3.0,MRS2043,0
03SOL14112,17/02/21,12.0,MRS2043,0
01EST1515,20/02/21,50.0,MRSZI0096,0
03M22520,20/02/21,11.6,MRSZI046,0
01CAL,22/02/21,1.0,MRSZI046,0
03SOL1812,24/02/21,8.0,MRSZI046,0
03122ES18,24/02/21,22.8,MRSZI046,0
0612974,25/02/21,1.0,MRS2043,0
01MALSOL6,26/02/21,8.0,MRSZI046,0
03PC15018,27/02/21,13.0,OOFP82,14
03ANG18112,27/02/21,11.8,EARJ69,3
03PC15018,27/02/21,42.9,OOFP82,14
03103TS18,01/03/21,8.4,MRSZI046,0
01VAR38,01/03/21,10.0,MRSZI046,0
04HPPB14112,01/03/21,500.0,MRS2043,0
02EPP6305,01/03/21,1.0,MRS2043,0
05VALPVCER2,05/03/21,2.0,MRS2043,0
06PEGAMM,06/03/21,1.0,MRS993,0
03POL36,06/03/21,53.57,MRS650,0
03TM1834,08/03/21,48.0,MRS2043,0
0646279,08/03/21,6.0,MRS2043,0
03VCAR12,09/03/21,7.7,MRSZI046,0
05CUECER,09/03/21,1.0,MRS2043,0
03MDFE27,11/03/21,1.0,MRS2043,0
01VAR38,11/03/21,50.0,MRSZI1235,0
03LN41018,12/03/21,1.0,MRS2043,0
08POL12,12/03/21,50.0,MRS2043,0
08BICG115,12/03/21,15.0,MRS2043,0
03DUDO20,17/03/21,9.6,MRSZI046,0
03PR40018,18/03/21,15.8,OOFP82,14
03ANG18112,18/03/21,5.9,MRS295,14
03PC7518,19/03/21,37.8,MRS2043,0
03PC15018,19/03/21,8.6,MRS2043,0
01CEMBIG,25/03/21,1.93,CARA65,0
0848133,25/03/21,1.0,MRS2043,0
08CON48135,25/03/21,4.0,MRS2043,0
08TORC14112,26/03/21,45.0,MRS2043,0
01EST1520,26/03/21,21.6,MRS379,9
01VAR38,30/03/21,8.0,AEEM87,0
05BRIDFM,30/03/21,1.0,MRS2043,0
03LA10126600,31/03/21,1.0,MRS2043,0
03PTR32C14,31/03/21,22.0,MRS2043,0
03TC301,01/04/21,1.0,MRSZI046,0
03TM181,01/04/21,4.4,MRSZI046,0
03TM181,01/04/21,2.2,MRSZI046,0
03TC3031,01/04/21,1.0,MRSZI046,0
03POL88,01/04/21,211.0,MRS2043,0
03TM18112,01/04/21,6.6,MRSZI046,0
03127TDC20,01/04/21,17.2,MRS2043,0
03PP20018,06/04/21,11.4,MRSZI046,0
02ECAG4305,08/04/21,15.0,MRSZI046,0
02EPG4305,08/04/21,10.0,MRSZI046,0
04CHACH,09/04/21,2.0,MRSZI046,0
03PTR114,09/04/21,16.8,MRSZI046,0
03TC301,13/04/21,4.95,CASM88,1
01BAB1030,13/04/21,4000.0,MRSZI0046,0
03LG31020,14/04/21,2.0,MRSZI0114,0
03LN41016,14/04/21,1.0,MRSZI0114,0
01CEMMCA50,13/04/21,10.0,MRSZI0046,0
03TC301,13/04/21,0.05,MRS2043,0
05CONPL12,14/04/21,1.0,MRS2043,0
01ES,15/04/21,2.0,MRS2434,0
05CODCP9034,15/04/21,20.0,MRS2434,0
0846986,15/04/21,4.0,AAL06,0
08CUR312,15/04/21,80.0,AAL06,0
04HRG3,15/04/21,2.0,MRSZI046,0
03TAB310T,15/04/21,20.4,MRSZI046,0
03LAP10126550,15/04/21,13.0,ASO15,0
05TAPPL12,15/04/21,2.0,MRS2043,0
03121CH18,15/04/21,8.0,MRSZI046,0
03PP20020,15/04/21,17.2,MRSZI046,0
0611915,15/04/21,1.0,MRS2043,0
06TP120LT,16/04/21,2.0,MRS2043,0
01BLO12,16/04/21,35.0,MRS2043,0
03TM18112,17/04/21,14.0,MRS2043,0
03TM182,17/04/21,18.8,MRS2043,0
01BAB1030,17/04/21,20.0,MRSZI046,0
03101AL18,19/04/21,14.8,MRS2043,0
