Claart,Fecfac,Cant,Clacli,Clatipcli
01CEMMCA50,29/07/19,38.0,PSP14,0
01VAR112,29/07/19,20.0,PSP14,0
01VART6014,29/07/19,262.0,PSP14,0
06CLA212,29/07/19,25.0,PSP14,0
01CEMCAZ50,29/07/19,44.0,PSP14,0
01CEMBIG,01/08/19,2.0,MRS2157,0
01CEMCAZ50,02/08/19,10.0,MRSZI022,0
01MALSOL10,02/08/19,500.0,MAAG76,1
01CEMCAZ50,06/08/19,10.0,MRSZI022,0
01CEMCAZ50,08/08/19,50.0,MRSZINAQ,0
01CEMCAZ50,08/08/19,144.0,MAL630,0
01CEMCAZ50,08/08/19,10.0,MRSZI022,0
01CEMCAZ50,13/08/19,15.0,MRSZI022,0
06REDG1,16/08/19,1.0,MRS2043,0
01CEMCAZ50,17/08/19,10.0,MRSZI022,0
01CEMCAZ50,20/08/19,15.0,MRSZI022,0
03LPCR723,30/08/19,2.0,MRSZI020,0
06FONSN,30/08/19,1.0,MRSZI020,0
06PEB4,30/08/19,1.0,MRSZI020,0
06T501,30/08/19,4.0,MRSZI020,0
03LAMC28305,30/08/19,34.0,MRSZI020,0
03POL46,30/08/19,700.0,MRSZI020,0
04HPPB141,30/08/19,400.0,MRSZI020,0
0662800,30/08/19,1.0,MRSZI020,0
06SKF,30/08/19,4.0,MRSZI020,0
04HDCM14,30/08/19,2.0,MRSZI020,0
04HDD412,30/08/19,1.0,MRSZI020,0
04HDDC412,30/08/19,10.0,MRSZI020,0
04HSI2178,30/08/19,10.0,MRSZI020,0
06ESPA14,30/08/19,10.0,MRSZI020,0
04ASH0610,30/08/19,4.0,MRS2043,0
04HRGCC3,30/08/19,4.0,MRS2043,0
03PTR11211,31/08/19,545.0,MRSZI025,0
03PTR211,31/08/19,705.0,MRSZI025,0
03PLA41058,02/09/19,313.5,MRSZI025,0
03PTR11211,02/09/19,654.0,MRSZI025,0
03SOL14212,02/09/19,40.0,MRSZI025,0
03TE8620,02/09/19,10.0,MRSZI025,0
03ANG3163,02/09/19,105.0,MRSZI025,0
03PL41014,02/09/19,190.0,MRSZI025,0
01CEMCAZ50,06/09/19,5.0,MRSZI022,0
05CAJP,06/09/19,23.0,PSP14,0
01CEMAGR,07/09/19,40.08,MAAG76,1
