Claart,Fecrem,Cant
04HSEL,18/07/17,3.0
06CONMJ,18/07/17,1.0
05ABRASF6,18/07/17,1.0
01SON20,06/09/17,10.0
01SON25,06/09/17,10.0
01EST1520,06/09/17,3.0
06BRIC1,06/09/17,2.0
06BRIC112,06/09/17,2.0
06LIJAESM,06/09/17,2.0
06LIJAJ7380,06/09/17,2.0
06CLA212,18/07/17,25.0
01CEMCAZ50,18/07/17,5.0
01LADRCD,06/09/17,150.0
01CEMCAZ50,06/09/17,4.0
03PP10020Z,06/09/17,6.0
03101AL20Z,06/09/17,5.6
03121CH20Z,06/09/17,6.0
03TAB3Z,06/09/17,6.0
03M22520Z,06/09/17,5.8
01CEMCAZ50,06/09/17,5.0
05TAPHGAL12,13/07/17,1.0
06CLA212,14/07/17,1.0
05VAL12,14/07/17,1.0
05FLOPTIN,14/07/17,1.0
05CODPVC690,14/07/17,4.0
06PALT,14/07/17,1.0
01BLO15,15/07/17,50.0
01VAR38,15/07/17,150.0
04HSEL,15/07/17,2.0
01CEMCAZ50,15/07/17,23.0
01ARM204,15/07/17,2.0
01CEMCAZ50,15/07/17,6.0
01BLO15,15/07/17,100.0
0614863,15/07/17,1.0
0610615,15/07/17,1.0
01CAL,15/07/17,2.0
01SON30,17/07/17,3.0
06CODP12,17/07/17,5.0
06CINAIS6018,17/07/17,1.0
01SM,18/07/17,1.0
01CEMCAZ50,18/07/17,1.0
01BLO12,18/07/17,18.0
03PR20018,18/07/17,8.2
01BLO15,19/07/17,50.0
01SON25,19/07/17,1.0
01CEMCAZ50,19/07/17,2.0
0623520,19/07/17,1.0
06TALACOM,19/07/17,1.0
01CEMCAZ50,18/07/17,3.0
01CEMCAZ50,18/07/17,2.0
01ARM204,18/07/17,2.0
01CEMCAZ50,18/07/17,5.0
01ALREC,18/07/17,2.0
06GUAN,14/09/17,1.0
0615511,14/09/17,1.0
01CEMCAZ50,18/07/17,4.0
05CODPVC290,17/07/17,4.0
01CEMCAZ50,06/09/17,10.0
01CAL,06/09/17,2.0
01VAR38,06/09/17,2.0
01ALREC,06/09/17,20.0
06CLA2,06/09/17,6.0
01CEMCAZ50,07/09/17,1.0
01MALSOL10,07/09/17,12.0
0649191,11/03/19,1.0
01ALREC,11/03/19,5.0
02TORS118,11/03/19,500.0
01CAL,11/03/19,2.0
04HCRT,11/03/19,1.0
05COFG381,11/03/19,1.0
05TEEPVCH34,11/03/19,2.0
04DISCAU778,11/03/19,2.0
05CODPVCH3490,11/03/19,3.0
05RBPVC134,11/03/19,4.0
05TEEPVCH34,11/03/19,1.0
0644486,07/08/17,0.23
01CEMCAZ50,07/08/17,1.0
01YEM,07/08/17,1.0
SRVBASIND,07/08/17,1.0
01CEMCAZ50,07/08/17,4.0
01BLO15,07/08/17,100.0
01CAL,07/08/17,1.0
0621624,07/08/17,1.0
01CEMCAZ50,07/08/17,3.0
06PES300T,07/08/17,1.0
06MACI102,07/08/17,120.0
01SM,07/08/17,1.0
01CEMCAZ50,07/08/17,3.0
01UBA,07/08/17,1.0
01COMB34,07/08/17,6.0
01VAR38,14/08/17,200.0
01EST1525,08/08/17,12.2
05PEGAD120,08/08/17,1.0
06BICPAL,08/08/17,1.0
06CLAC212,08/08/17,0.1
01CEMCAZ50,08/08/17,10.0
01CAL,08/08/17,3.0
01ALREC,08/08/17,10.0
01CEMCAZ50,08/08/17,30.0
01VAR38,08/08/17,20.0
01CEMCAZ50,08/08/17,15.0
08CAJO4R,08/08/17,7.0
08POL12,08/08/17,30.0
06CODP12,08/08/17,3.0
SRVBASIND,08/08/17,1.0
05COPPVC4,08/08/17,1.0
08CAJC,09/08/17,10.0
0611585,09/08/17,10.0
04HCDAD,09/08/17,1.0
01CEMCAZ50,28/07/17,2.0
01CEMCAZ50,28/07/17,3.0
01ALREC,10/08/17,6.0
01CEMCAZ50,29/07/17,5.0
01CEMCAZ50,10/08/17,6.0
01CAL,10/08/17,3.0
03VCUA12,29/07/17,7.0
04HVO11,03/01/19,2.0
08POL1234,03/01/19,30.0
01CEMCAZ50,29/07/17,4.0
03ANG3163,29/07/17,35.0
03TM181,29/07/17,4.4
03TM18114,29/07/17,5.6
0613512,31/07/17,1.0
01ARM1538,31/07/17,4.0
01CEMCAZ50,31/07/17,8.0
01CAL,31/07/17,5.0
01EST1520,31/07/17,43.8
01CEMCAZ50,31/07/17,4.0
01ALREC,31/07/17,211.4
06CLA212,31/07/17,75.0
06CLA4,31/07/17,25.0
06CLAC212,31/07/17,20.0
01CEMBC,31/07/17,1.0
01CEMCAZ50,31/07/17,3.0
04HSI2110,31/07/17,2.0
04HPPB141,09/08/17,100.0
01CEMCAZ50,09/08/17,3.0
01CEMCAZ50,01/08/17,3.0
01CAL,01/08/17,2.0
01CEMCAZ50,01/08/17,2.0
06LIJAJ7380,14/09/17,1.0
06LIJAESM,14/09/17,2.0
0644486,01/08/17,0.6
01ARM204,01/08/17,4.0
06ESPON,15/08/17,1.0
0644486,01/08/17,0.3
01CEMCAZ50,03/01/19,2.0
05TUBCPV12,03/01/19,18.3
05CODCP9012,03/01/19,6.0
05TEECO12,03/01/19,1.0
01CEMCAZ50,02/08/17,3.0
01VAR38,10/08/17,3.0
01ALREC,10/08/17,2.0
01CEMCAZ50,10/08/17,27.0
06CLA212,02/08/17,1.0
01ALREC,02/08/17,1.0
01BAB1030,10/08/17,60.0
08POL12,02/08/17,40.0
06CODP12,02/08/17,7.0
08CAJO4R,02/08/17,3.0
05ATPVC4,02/08/17,6.0
0614449,02/08/17,1.0
0646202,02/08/17,1.0
0617309,02/08/17,1.0
01BAB1030,02/08/17,80.0
01SM,03/08/17,3.0
0614223,03/08/17,1.0
01CEMCAZ50,03/08/17,3.0
06CLAC2,03/08/17,0.15
06ESPONJ,03/08/17,1.0
01COMB34,03/08/17,1.0
08POL1234,03/08/17,9.0
0646120,03/08/17,2.0
01VAR38,04/08/17,10.0
01ARM15254,04/08/17,6.0
01ARM1538,04/08/17,2.0
01CAL,04/08/17,3.0
01CEMCAZ50,04/08/17,8.0
01CEMCAZ50,04/08/17,7.0
01CAL,04/08/17,2.0
01CEMCAZ50,04/08/17,6.0
01CAL,04/08/17,3.0
01CEMCAZ50,04/08/17,3.0
05ATPVC4,10/08/17,6.0
01CEMCAZ50,11/08/17,1.0
01CEMBIG,11/08/17,8.0
05TUBGALV51126,11/08/17,15.0
06CLA4,11/08/17,10.0
04HBISTU38,11/08/17,2.0
01VAR38,11/08/17,10.0
01ALREC,11/08/17,5.0
01ES,11/08/17,5.0
01CEMCAZ50,11/08/17,1.0
0616956,11/08/17,1.0
06CAT60ND,11/08/17,2.0
03TM181,11/08/17,8.8
03TC3012,11/08/17,1.0
04HPPB141,11/08/17,100.0
06BRF14,11/08/17,1.0
01CEMCAZ50,11/08/17,6.0
08POL12,12/08/17,65.0
01ARM204,12/08/17,10.0
06CLA212,12/08/17,1.0
01ALREC,12/08/17,2.0
01BLO15,12/08/17,200.0
03TM181,10/08/17,8.8
04HSO13332,10/08/17,2.0
04HSEL,12/08/17,1.0
03POL66,12/08/17,50.0
01CEMCAZ50,04/08/17,5.0
01CEMCAZ50,04/08/17,9.0
01ARM123,04/08/17,2.0
01CEMCAZ50,05/08/17,10.0
06GRAPG,05/08/17,1.0
05ATCPVC12,05/08/17,3.05
01SM,05/08/17,1.0
05TEEPVCIN12,05/08/17,5.0
05PEGADO50,03/11/17,1.0
01CEMCAZ50,03/11/17,2.0
SRVBASIND,04/11/17,1.0
03101AL20,09/08/17,2.8
03121CH20,09/08/17,3.0
03PERC050,09/08/17,5.6
0614951,09/08/17,1.0
03TM1834,09/08/17,6.4
03TM18112,09/08/17,52.8
01CEMCAZ50,09/08/17,1.0
01CAL,09/08/17,1.0
01ALREC,19/09/17,3.0
0614951,19/07/17,1.0
01ALREC,19/07/17,8.0
01BAB1030,19/07/17,70.0
01ES,19/07/17,15.0
01CEMBC,19/07/17,1.0
01CEMCAZ50,19/07/17,10.0
01VAR38,19/07/17,10.0
06ESCJ22,19/07/17,1.0
0621431,19/07/17,1.0
01ALREC,19/07/17,10.0
01EST1530,19/07/17,2.4
01BLO15,20/07/17,50.0
01CAL,20/07/17,1.0
01CEMCAZ50,20/07/17,1.0
06CLAC212,20/07/17,20.0
01ALREC,20/07/17,211.2
0617880,20/07/17,1.0
06PALT,20/07/17,2.0
01ALAM,20/07/17,500.0
01CEMBC,20/07/17,5.0
01CEMCAZ50,20/07/17,55.0
01VAR38,20/07/17,30.0
01ALREC,20/07/17,10.0
08CAJO4R,20/07/17,7.0
06CLA212,20/07/17,1.0
GTRAS,20/07/17,1.0
0621541,20/07/17,1.0
03PTR21214,20/07/17,22.5
01CEMCAZ50,21/07/17,4.0
01CAL,21/07/17,1.0
01ARM204,21/07/17,1.0
06CLA4,21/07/17,4.0
03PTR4414,21/07/17,36.4
03POL46,21/07/17,20.0
01CEMCAZ50,21/07/17,1.0
04HPPB141,21/07/17,100.0
08CAJO4R,21/07/17,5.0
SRVBASIND,21/07/17,1.0
03M22518,21/07/17,7.6
04HBISL3,21/07/17,6.0
01ARM204,21/07/17,7.0
01VAR38,21/07/17,10.0
01ALREC,21/07/17,4.0
06ARE,21/07/17,1.0
04HSEL,21/07/17,1.0
06CAT15ND,21/07/17,1.0
0617194,21/07/17,1.0
0644486,21/07/17,1.45
01BLO15,22/07/17,50.0
01BLO15,24/07/17,50.0
SRVBASIND,22/07/17,1.0
01CEMCAZ50,22/07/17,26.0
0621026,24/07/17,1.0
03PC10018,24/07/17,27.0
04HSI2178,24/07/17,2.0
08SOQCCC,24/07/17,3.0
01CEMCAZ50,24/07/17,5.0
01CAL,24/07/17,3.0
01CAL,24/07/17,2.0
06GUAN,24/07/17,2.0
04HSI2176,25/07/17,1.0
01ARE,25/07/17,3.0
01CEMCAZ50,25/07/17,10.0
01ALREC,25/07/17,3.0
01ARM204,25/07/17,8.0
01CEMCAZ50,25/07/17,40.0
01VAR38,25/07/17,70.0
06ESCC,25/07/17,1.0
0614863,25/07/17,1.0
0610440,25/07/17,1.0
01EST1525,26/07/17,49.0
06CLA212,26/07/17,2.0
06CLA4,26/07/17,2.0
01ALREC,26/07/17,5.0
06CLAC212,26/07/17,1.0
01CEMCAZ50,26/07/17,2.0
02TOR812,26/07/17,50.0
04HPPB141,26/07/17,50.0
02TORS2,26/07/17,20.0
06MAG175,26/07/17,45.0
03PTR3314,26/07/17,108.0
01CEMCAZ50,26/07/17,2.0
04HDCM14,26/07/17,1.0
01CEMCAZ50,26/07/17,4.0
06GRAPG,26/07/17,3.0
03POL88,26/07/17,258.0
0614863,26/07/17,1.0
01CEMCAZ50,27/07/17,5.0
01ALREC,27/07/17,3.0
01EST1520,27/07/17,7.0
02TOR812,27/07/17,75.0
02TORS2,27/07/17,20.0
01CEMCAZ50,27/07/17,4.0
01SM,27/07/17,1.0
01CEMCAZ50,27/07/17,19.0
01ALREC,27/07/17,1.0
01COMB34,27/07/17,5.0
01ALREC,27/07/17,4.0
06CLA2,27/07/17,2.0
01MALSOL6,27/07/17,15.48
01CEMBC,27/07/17,1.0
01CEMCAZ50,27/07/17,12.0
01CAL,27/07/17,3.0
01VAR38,28/07/17,1.0
01VAR38,28/07/17,30.0
03154JUN18,28/07/17,2.4
06CLAC212,28/07/17,2.5
01BAB1030,14/08/17,300.0
01ALREC,14/08/17,5.0
0614246,15/08/17,1.0
06GUANCN,15/08/17,1.0
06CLA1,15/08/17,0.25
01ALREC,15/08/17,2.0
01CAL,15/08/17,2.0
08POL12,15/08/17,35.0
01CEMCAZ50,15/08/17,2.0
01BLO15,15/08/17,800.0
FLE,15/08/17,1.0
01ALREC,15/08/17,4.0
06CLA212,15/08/17,3.0
01ARE,15/08/17,1.5
01CEMCAZ50,15/08/17,4.0
01CAL,15/08/17,5.0
01CEMCAZ50,16/08/17,5.0
01CEMBC,16/08/17,2.0
06PL4,16/08/17,8.2
01MALSOL10,16/08/17,50.0
01SON20,16/08/17,3.0
06ESPON,16/08/17,2.0
SRVBASIND,16/08/17,1.0
01ARM15516,16/08/17,10.0
01VAR38,16/08/17,5.0
01ALREC,16/08/17,10.0
01ARM124,16/08/17,6.0
