Claart,Fecfac,Cant
01CEMCAZ50,08/08/19,10.0
01CEMCAZ50,13/08/19,15.0
06REDG1,16/08/19,1.0
01CEMCAZ50,17/08/19,10.0
01CEMCAZ50,20/08/19,15.0
03LPCR723,30/08/19,2.0
06FONSN,30/08/19,1.0
06PEB4,30/08/19,1.0
06T501,30/08/19,4.0
03LAMC28305,30/08/19,34.0
03POL46,30/08/19,700.0
04HPPB141,30/08/19,400.0
0662800,30/08/19,1.0
06SKF,30/08/19,4.0
04HDCM14,30/08/19,2.0
04HDD412,30/08/19,1.0
04HDDC412,30/08/19,10.0
04HSI2178,30/08/19,10.0
06ESPA14,30/08/19,10.0
04ASH0610,30/08/19,4.0
04HRGCC3,30/08/19,4.0
03PTR11211,31/08/19,545.0
03PTR211,31/08/19,705.0
03PLA41058,02/09/19,313.5
03PTR11211,02/09/19,654.0
03SOL14212,02/09/19,40.0
03TE8620,02/09/19,10.0
03ANG3163,02/09/19,105.0
03PL41014,02/09/19,190.0
01CEMCAZ50,06/09/19,5.0
05CAJP,06/09/19,23.0
01CEMAGR,07/09/19,40.08
01CEMCAZ50,13/09/19,10.0
05CAJP,09/09/19,30.0
01CEMCAZ50,09/09/19,10.0
01CEMCAZ50,10/09/19,10.0
01CEMCAZ50,11/09/19,5.0
01BLS15,13/09/19,520.0
01CEMCAZ50,14/09/19,10.0
01CEMAGR,14/09/19,3.77
01CEMAGR,14/09/19,13.15
01CEMCAZ50,17/09/19,5.0
01CEMCAZ50,17/09/19,10.0
05CODPVC490,20/09/19,4.0
05PEGAD120,20/09/19,1.0
05REDPVC64,20/09/19,1.0
05TUBPVCN6,20/09/19,6.0
01CEMCAZ50,20/09/19,15.0
01CEMCAZ50,21/09/19,5.0
06ESPA12,21/09/19,1.0
03POL46,23/09/19,20.0
03PTR3314,23/09/19,53.6
04HDDC412,23/09/19,2.0
01CEMAGR,08/10/19,19.68
01CEMAGR,08/10/19,18.0
01CEMCAZ50,24/01/20,10.0
