"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncar","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"1","SRV2","230","1","0","yes","0","16","0","659986","0","ZINC0094","ZI014788","yes","0","","0",""
"1","SRV2","150","1","0","yes","0","16","0","660037","0","ZINC0095","ZI014555","yes","0","","0",""
"1","IVA16","2537","1","0","yes","0","16","0","665869","0","ZINC0096","ZI015380","yes","0","","0",""
"1","SRV2","8617.84","1","0","yes","0","16","0","676195","0","ZINC0097","ZI014778","yes","0","","0",""
"1","SRV2","900","1","0","yes","0","16","0","676996","0","ZINC0098","ZI015269","yes","0","","0",""
"1","SRVDC16","4000","1","0","yes","0","16","0","700003","0","ZINC0099","ZI016104","yes","0","","0",""
"1","SRVDC16","25","1","0","yes","0","16","0","711908","0","ZINC0100","ZI016706","yes","0","","0",""
"1","SRVDC16","96.59","1","0","yes","0","16","0","785249","0","ZINC0101","ZI017754","yes","0","","0",""
"1","SRVDC16","450","1","0","yes","0","16","0","809009","0","ZINC0102","ZI018354","yes","0","","0",""
"1","SRVDC16","20","1","0","yes","0","16","0","830081","0","ZINC0103","ZI017706","yes","0","","0",""
"1","SRVDC16","1785.21","1","0","yes","0","16","0","861178","0","ZINC0104","ZI018136","yes","0","","0",""
"1","SRVDC16","906.77","1","0","yes","0","16","0","861183","0","ZINC0105","ZI018918","yes","0","","0",""
"1","SRVDC16","130","1","0","yes","0","16","0","869613","0","ZINC0106","ZI019395","yes","0","","0",""
"1","SRVDC16","1190.12","1","0","yes","0","16","0","912194","0","ZINC0107","ZI018136","yes","0","","0",""
"1","SRVDC16","604.52","1","0","yes","0","16","0","912198","0","ZINC0108","ZI018918","yes","0","","0",""
"1","SRVDC0","22606.7","1","0","yes","0","0","0","919875","0","ZINC0109","ZI019428","yes","0","","0",""
"1","SRVDC16","184","1","0","yes","0","16","0","984578","0","ZINC0110","ZI017114","yes","0","","0",""
"1","SRVDC16","3420","1","0","yes","0","16","0","1006420","0","ZINC0111","ZI022375","yes","0","","0",""
"1","SRVDC16","680","1","0","yes","0","16","0","1017541","0","ZINC0303","ZI044039","yes","0","","0",""
"1","SRVDC16","90","1","0","yes","0","16","0","1024727","0","ZINC0112","ZI022702","yes","0","","0",""
"1","SRVDC16","200","1","0","yes","0","16","0","1028519","0","ZINC0113","ZI022816","yes","0","","0",""
"1","SRVDC16","345.9","1","0","yes","0","16","0","1042892","0","ZINC0114","ZI021929","yes","0","","0",""
