"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","Pedren","peso","Numfac","Numped","canfon","unaen","claofe","bannc","claofe2","preofe","claofe3","claaalt","Clauni","cant2","preven","objimp"
"1","01VAR38","133","3","0","yes","90.5023","16","0","867627","0","0","ZINS0037","","0","no","0","no","0","0","0","","1","0","0",""
"1","01MALSOL10","15.6","1000","0","yes","13.065","16","0","868501","0","0","ZINS0038","","0","no","0","no","0","0","0","","1","0","0",""
"1","01MALSOL10","15.6","500","0","yes","13.065","16","0","869025","0","0","ZINS0039","","0","no","0","no","0","0","0","","1","0","0",""
"1","0616026","1820.38","1","0","yes","1204","16","0","870001","0","0","ZINS0040","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CAL","71","3","0","yes","47.5","16","0","870630","0","0","ZINS0041","","0","no","0","no","0","0","0","","1","0","0",""
"2","01CEMCAZ50","147","3","0","yes","110.776","16","0","870630","0","0","ZINS0041","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CAL","68","2","0","yes","47.5","16","0","871451","0","0","ZINS0042","","0","no","0","no","0","0","0","","1","0","0",""
"2","01CEMCAZ50","140","4","0","yes","110.776","16","0","871451","0","0","ZINS0042","","0","no","0","no","0","0","0","","1","0","0",""
"3","01BIOB0012","10.2","25","0","yes","7.85","16","0","871451","0","0","ZINS0042","","0","no","0","no","0","0","0","","1","0","0",""
"1","01MALSOL10","15.6","800","0","yes","13.065","16","0","873104","0","0","ZINS0044","","0","no","0","no","0","0","0","","1","0","0",""
"1","01BIOB0012","10.2","6","0","yes","7.85","16","0","873182","0","0","ZINS0045","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","147","2","0","yes","110.776","16","0","873293","0","0","ZINS0046","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","140","3","0","yes","110.776","16","0","874343","0","0","ZINS0047","","0","no","0","no","0","0","0","","1","0","0",""
"1","05SILL124","133","25","0","yes","100.42396","16","0","876520","0","0","ZINS0054","","0","no","0","no","0","0","0","","1","0","0",""
"2","05TUBPVCALC12","2268","15","0","yes","1333.27165","16","0","876520","0","0","ZINS0054","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CAL","71","3","0","yes","47.5","16","0","877091","0","0","ZINS0048","","0","no","0","no","0","0","0","","1","0","0",""
"1","01BLO15","7.8","100","0","yes","5.8621","16","0","877099","0","0","ZINS0049","","0","no","0","no","0","0","0","","1","0","0",""
"1","01MALSOL10","15.6","400","0","yes","13.065","16","0","878539","0","0","ZINS0051","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2250","10.07","0","yes","2051.71998","16","0","879908","0","0","ZINS0050","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMGRA","2250.41152","12.15","0","yes","2051.71995","16","0","881674","0","0","ZINS0052","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","147","2","0","yes","110.776","16","0","881793","0","0","ZINS0053","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","147","10","0","yes","110.776","16","0","884388","0","0","ZINS0055","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","147","10","0","yes","110.776","16","0","884889","0","0","ZINS0056","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMBIG","2600","2","0","yes","2032.2848","16","0","885995","0","0","ZINS0057","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2249.69574","24.65","0","yes","2051.71995","16","0","886313","0","0","ZINS0058","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2250","25.03","0","yes","2051.71995","16","0","886343","0","0","ZINS0059","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ARM1538","295","2","0","yes","186.93","16","0","886379","0","0","ZINS0060","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ALREC","23","1","0","yes","14.9","16","0","887172","0","0","ZINS0061","","0","no","0","no","0","0","0","","1","0","0",""
"2","01ARM1538","310","10","0","yes","186.93","16","0","887172","0","0","ZINS0061","","0","no","0","no","0","0","0","","1","0","0",""
"3","01CEMCAZ50","150","20","0","yes","110.776","16","0","887172","0","0","ZINS0061","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","147","5","0","yes","110.776","16","0","888041","0","0","ZINS0062","","0","no","0","no","0","0","0","","1","0","0",""
"1","01BLO20","10.9968","400","0","yes","9.05172","16","0","888657","0","0","ZINS0063","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ARM1538","295","1","0","yes","186.93","16","0","888708","0","0","ZINS0064","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CAL","70","1","0","yes","47.5","16","0","889810","0","0","ZINS0065","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","147","6","0","yes","110.776","16","0","890371","0","0","ZINS0066","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMGRA","2250","39.96","0","yes","2051.71995","16","0","892376","0","0","ZINS0067","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ARM1538","295","2","0","yes","186.93","16","0","892562","0","0","ZINS0068","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CAL","70","1","0","yes","47.5","16","0","892672","0","0","ZINS0069","","0","no","0","no","0","0","0","","1","0","0",""
"2","01CEMCAZ50","150","2","0","yes","110.776","16","0","892672","0","0","ZINS0069","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","145","3","0","yes","110.776","16","0","892682","0","0","ZINS0070","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMBIG","2500","12","0","yes","2021.2744","16","0","892836","0","0","ZINS0071","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2350","13.49","0","yes","2051.71995","16","0","892936","0","0","ZINS0072","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ALAM","22.5","100","0","yes","12.9","16","0","892969","0","0","ZINS0073","","0","no","0","no","0","0","0","","1","0","0",""
"2","01ALREC","23","90","0","yes","14.9","16","0","892969","0","0","ZINS0073","","0","no","0","no","0","0","0","","1","0","0",""
"3","01CAL","72","1","0","yes","47.5","16","0","892969","0","0","ZINS0073","","0","no","0","no","0","0","0","","1","0","0",""
"4","01CEMCAZ50","150","20","0","yes","110.776","16","0","892969","0","0","ZINS0073","","0","no","0","no","0","0","0","","1","0","0",""
"5","01CEMMCA50","133","10","0","yes","89.6555","16","0","892969","0","0","ZINS0073","","0","no","0","no","0","0","0","","1","0","0",""
"6","01VAR112","205.5","30","0","yes","150.2434","16","0","892969","0","0","ZINS0073","","0","no","0","no","0","0","0","","1","0","0",""
"7","01VAR38","127","192","0","yes","84.4352","16","0","892969","0","0","ZINS0073","","0","no","0","no","0","0","0","","1","0","0",""
"8","06CLA212","30.5","15","0","yes","17.085","16","0","892969","0","0","ZINS0073","","0","no","0","no","0","0","0","","1","0","0",""
"9","06CLA4","30.5","10","0","yes","17.22","16","0","892969","0","0","ZINS0073","","0","no","0","no","0","0","0","","1","0","0",""
"10","06CLAC212","41","5","0","yes","27.825","16","0","892969","0","0","ZINS0073","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ALAM","22.5","10","0","yes","12.9","16","0","893035","0","0","ZINS0074","","0","no","0","no","0","0","0","","1","0","0",""
"2","01ALREC","23","4","0","yes","14.9","16","0","893035","0","0","ZINS0074","","0","no","0","no","0","0","0","","1","0","0",""
"3","01BLO15","8.2","145","0","yes","5.8621","16","0","893035","0","0","ZINS0074","","0","no","0","no","0","0","0","","1","0","0",""
"4","01CEMCAZ50","150","5","0","yes","110.776","16","0","893035","0","0","ZINS0074","","0","no","0","no","0","0","0","","1","0","0",""
"5","01CEMMCA50","133.09","2","0","yes","89.6555","16","0","893035","0","0","ZINS0074","","0","no","0","no","0","0","0","","1","0","0",""
"6","01VAR38","127","6","0","yes","84.4352","16","0","893035","0","0","ZINS0074","","0","no","0","no","0","0","0","","1","0","0",""
"7","06CLA212","30.5","4","0","yes","17.085","16","0","893035","0","0","ZINS0074","","0","no","0","no","0","0","0","","1","0","0",""
"8","06CLA4","30.5","4","0","yes","17.22","16","0","893035","0","0","ZINS0074","","0","no","0","no","0","0","0","","1","0","0",""
"9","06CLAC212","41","2","0","yes","27.825","16","0","893035","0","0","ZINS0074","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMBIG","2500","4","0","yes","2021.2744","16","0","893729","0","0","ZINS0075","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMGRA","2250","50.42","0","yes","2051.71995","16","0","894433","0","0","ZINS0076","","0","no","0","no","0","0","0","","1","0","0",""
"1","0615081","8000",".5","0","yes","4706.55","16","0","895108","0","0","ZINS0077","","0","no","0","no","0","0","0","","1","0","0",""
"1","01BLO20","11","165","0","yes","6.72413","16","0","895491","0","0","ZINS0078","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","150","20","0","yes","110.776","16","0","897204","0","0","ZINS0079","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","147","3","0","yes","110.776","16","0","897588","0","0","ZINS0080","","0","no","0","no","0","0","0","","1","0","0",""
"2","01VAR38","110","2","0","yes","84.4352","16","0","897588","0","0","ZINS0080","","0","no","0","no","0","0","0","","1","0","0",""
"3","05PEGPVCTR150","39.3","1","0","yes","33.0349","16","0","897588","0","0","ZINS0080","","0","no","0","no","0","0","0","","1","0","0",""
"4","05REDPVC43","9.3","1","0","yes","7.145","16","0","897588","0","0","ZINS0080","","0","no","0","no","0","0","0","","1","0","0",""
"5","05TAPMPVC4","7.5","1","0","yes","15.3407","16","0","897588","0","0","ZINS0080","","0","no","0","no","0","0","0","","1","0","0",""
"6","05TEEPVC4","18.5","1","0","yes","11.4087","16","0","897588","0","0","ZINS0080","","0","no","0","no","0","0","0","","1","0","0",""
"7","05TUBPVCN3","27","6","0","yes","16.38334","16","0","897588","0","0","ZINS0080","","0","no","0","no","0","0","0","","1","0","0",""
"8","05TUBPVCN4","36","12","0","yes","23.1447","16","0","897588","0","0","ZINS0080","","0","no","0","no","0","0","0","","1","0","0",""
"1","01MAS44","42.95","600","0","yes","33.234","16","0","898775","0","0","ZINS0081","","0","no","0","no","0","0","0","","1","0","0",""
"1","01MAS44","42.95","700","0","yes","33.36554","16","0","899074","0","0","ZINS0082","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMBC","145","1","0","yes","102.59","16","0","899524","0","0","ZINS0083","","0","no","0","no","0","0","0","","1","0","0",""
"2","01CEMCAZ50","147","5","0","yes","110.776","16","0","899524","0","0","ZINS0083","","0","no","0","no","0","0","0","","1","0","0",""
"3","01MALSOL10","21.8","32","0","yes","11.4342","16","0","899524","0","0","ZINS0083","","0","no","0","no","0","0","0","","1","0","0",""
"4","05COPPVC3","3.6","1","0","yes","2.15","16","0","899524","0","0","ZINS0083","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMBIG","2600","2","0","yes","2018.047","16","0","899571","0","0","ZINS0084","","0","no","0","no","0","0","0","","1","0","0",""
"1","03ANG182","21.6","15.4","0","yes","14.77","16","0","899932","0","0","ZINS0085","","0","no","0","no","0","0","0","","1","0","0",""
"2","03LAT31014","1248.8","1","0","yes","767.25","16","0","899932","0","0","ZINS0085","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2249.7523","34.32","0","yes","2051.71995","16","0","900178","0","0","ZINS0087","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2251.45299","5.85","0","yes","2051.71995","16","0","900214","0","0","ZINS0086","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","149.19375","8","0","yes","110.776","16","0","900585","0","0","ZINS0088","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMBIG","2500","4","0","yes","2025.309","16","0","903466","0","0","ZINS0095","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2350","11.2","0","yes","2051.71995","16","0","903975","0","0","ZINS0091","","0","no","0","no","0","0","0","","1","0","0",""
"1","06CLA4","30.5","15","0","yes","17.22","16","0","904581","0","0","ZINS0089","","0","no","0","no","0","0","0","","1","0","0",""
"2","06CLAC3","38","8","0","yes","24.45","16","0","904581","0","0","ZINS0089","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMBIG","2500","4","0","yes","2025.309","16","0","907065","0","0","ZINS0094","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2330","10.25","0","yes","2034.48","16","0","907622","0","0","ZINS1050","","0","no","0","no","0","0","0","","1","0","0",""
"1","06CLA2","30.5","5","0","yes","19.5975","16","0","908101","0","0","ZINS0090","","0","no","0","no","0","0","0","","1","0","0",""
"2","06CLAC212","38","2","0","yes","27.825","16","0","908101","0","0","ZINS0090","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CAL","70","1","0","yes","47.5","16","0","909921","0","0","ZINS0092","","0","no","0","no","0","0","0","","1","0","0",""
"2","01CEMCAZ50","145","2","0","yes","110.776","16","0","909921","0","0","ZINS0092","","0","no","0","no","0","0","0","","1","0","0",""
"3","06ESPON","8","1","0","yes","5.78","16","0","909921","0","0","ZINS0092","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","145","6","0","yes","110.776","16","0","909933","0","0","ZINS0093","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMBIG","2500","4","0","yes","2026.9228","16","0","910714","0","0","ZINS0096","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2250","40.2","0","yes","2051.71995","16","0","911375","0","0","ZINS0097","","0","no","0","no","0","0","0","","1","0","0",""
"1","06CLA212","30.5022","16.72","0","yes","15.4","16","0","911499","0","0","ZINS0098","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMBIG","2500","4","0","yes","2026.9228","16","0","912661","0","0","ZINS0099","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMGRA","2250","40.2","0","yes","2051.71995","16","0","912924","0","0","ZINS0100","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ADN","11.5","250","0","yes","8.0261","16","0","913322","0","0","ZINS0101","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2350","9.47","0","yes","2051.71995","16","0","913956","0","0","ZINS0102","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2250","40.09","0","yes","2051.71995","16","0","915720","0","0","ZINS0103","","0","no","0","no","0","0","0","","1","0","0",""
