"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncre","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"1","03LAP10126","546","12","0","yes","381.16","16","0","885424","0","ZID00933","ZI019709","yes","0","","0",""
"1","01CEMBC","148","2","0","yes","102.59","16","0","885428","0","ZID00934","ZI019784","yes","0","","0",""
"2","01CEMCAZ50","150","30","0","yes","110.776","16","0","885428","0","ZID00934","ZI019784","yes","0","","0",""
"3","01ES","105","4","0","yes","68.97","16","0","885428","0","ZID00934","ZI019784","yes","0","","0",""
"1","03103TS20","28.8","19.2","0","yes","20.2","16","0","885456","0","ZID00935","ZI019433","yes","0","","0",""
"2","03121CH20","28","24","0","yes","20.2","16","0","885456","0","ZID00935","ZI019433","yes","0","","0",""
"3","03122ES20","28","11.6","0","yes","20.2","16","0","885456","0","ZID00935","ZI019433","yes","0","","0",""
"4","03123AR20","28","6.4","0","yes","19.6","16","0","885456","0","ZID00935","ZI019433","yes","0","","0",""
"5","03124GVC18","28","8.4","0","yes","20.2","16","0","885456","0","ZID00935","ZI019433","yes","0","","0",""
"6","03M22520","28","17.4","0","yes","19.2","16","0","885456","0","ZID00935","ZI019433","yes","0","","0",""
"7","03P10018","28","16","0","yes","19.3","16","0","885456","0","ZID00935","ZI019433","yes","0","","0",""
"8","03PP10020","28","18.6","0","yes","20.2","16","0","885456","0","ZID00935","ZI019433","yes","0","","0",""
"9","03TAB33","34.6645","12.4","0","yes","19.7","16","0","885456","0","ZID00935","ZI019433","yes","0","","0",""
"1","0549365","37.5","1","0","yes","24.8094","16","0","887277","0","ZID00936","ZI019931","yes","0","","0",""
"2","05ADAPMC12","2.5","1","0","yes","1.0946","16","0","887277","0","ZID00936","ZI019931","yes","0","","0",""
"3","05CHUH1142","6","1","0","yes","3.6485","16","0","887277","0","ZID00936","ZI019931","yes","0","","0",""
"4","05CODPVC390","7","1","0","yes","4.7532","16","0","887277","0","ZID00936","ZI019931","yes","0","","0",""
"5","05LLAAST","36.3","1","0","yes","21.891","16","0","887277","0","ZID00936","ZI019931","yes","0","","0",""
"6","05REDPVC32","7.2","3","0","yes","4.31","16","0","887277","0","ZID00936","ZI019931","yes","0","","0",""
"7","05TEEPVC3","11.3","5","0","yes","6.8126","16","0","887277","0","ZID00936","ZI019931","yes","0","","0",""
"1","01CEMBIG","2600","4","0","yes","2032.2848","16","0","887571","0","ZID00937","ZI019920","yes","0","","0",""
"1","01ALREC","23","3","0","yes","14.9","16","0","888074","0","ZID00938","ZI019946","yes","0","","0",""
"2","01EST1515","26","40.6","0","yes","15.276","16","0","888074","0","ZID00938","ZI019946","yes","0","","0",""
"1","01VAR112","217","50","0","yes","167.7745","16","0","888548","0","ZID00939","ZI017762","yes","0","","0",""
"1","03PC15020","26.4","19.8","0","yes","19.43","16","0","890001","0","ZID00940","ZI019975","yes","0","","0",""
"1","03ANG3161","20.99916","66","0","yes","15.65","16","0","890466","0","ZID00941","ZI019943","yes","0","","0",""
"2","03PTR11214","22.29924","52.8","0","yes","15.7","16","0","890466","0","ZID00941","ZI019943","yes","0","","0",""
"3","03PTR11414","22.29947","68.4","0","yes","15.5","16","0","890466","0","ZID00941","ZI019943","yes","0","","0",""
"4","03TC3012","126.9968","4","0","yes","87.48","16","0","890466","0","ZID00941","ZI019943","yes","0","","0",""
"5","03TC30L","340.4948","2","0","yes","237.853","16","0","890466","0","ZID00941","ZI019943","yes","0","","0",""
"6","04HPPB141","1.044","1000","0","yes",".64","16","0","890466","0","ZID00941","ZI019943","yes","0","","0",""
"7","04HPPB14112","1.392","1000","0","yes",".7791","16","0","890466","0","ZID00941","ZI019943","yes","0","","0",""
"8","04HPPB1434",".928","1000","0","yes",".59","16","0","890466","0","ZID00941","ZI019943","yes","0","","0",""
