"Clapro","Refori","Fecfac","Fecven","Monto","Estado","Miva","MImp2","MDes","Mcosto","Piva","Pimp2","PDes","Nummov","Numfac","Facpro","Mfondo","Numuser","nusercan"
"IFN03","","10/12/15","10/12/15","25270.3","yes","21784.74","0","0","0","16","0","0","82688","00000099","15586","0","0","0"
"SPO12","","10/12/15","10/12/15","18774.6","yes","16185","0","0","0","16","0","0","82696","00000100","3859","0","0","0"
"RE7804","","11/12/15","11/12/15","2923.2","yes","2520","0","0","0","16","0","0","82711","00000101","13","0","0","0"
"GORY93","","11/12/15","11/12/15","1508","yes","1300","0","0","0","16","0","0","82723","00000102",".","0","0","0"
"YIRJ75","","12/12/15","12/12/15","42","yes","0","42","0","0","0","0","0","82728","00000103","343","0","0","0"
"VQU40","","14/12/15","14/12/15","6963.06","yes","6002.64","0","0","0","16","0","0","82746","00000104","3426","0","0","0"
"RE7804","","15/12/15","15/12/15","10962","yes","9450","0","0","0","16","0","0","82758","00000105","14","0","0","0"
"IFN03","","15/12/15","15/12/15","42643.63","yes","36761.75","0","0","0","16","0","0","82770","00000106","15637","0","0","0"
"AEI98","","15/12/15","15/12/15","5750","no","4956.9","0","0","0","16","0","0","82774","00000107","2619","0","0","0"
"DTC02","","15/12/15","15/12/15","7824.09","yes","6744.9","0","0","0","16","0","0","82783","00000108","8874","0","0","0"
"CCA95TT","","15/12/15","15/12/15","102510.07","yes","88370.75","0","0","0","16","0","0","82793","00000109","4241610","0","0","0"
"AEI98","","16/12/15","16/12/15","7950","yes","6853.45","0","0","0","16","0","0","82524","00000110","2619","0","0","0"
"RE7804","","16/12/15","16/12/15","18165.6","yes","15660","0","0","0","16","0","0","82812","00000111","16","0","0","0"
"YIRJ75","","16/12/15","16/12/15","4899","yes","0","4899","0","0","0","0","0","82693","00000112","390","0","0","0"
"AAL05","","17/12/15","17/12/15","440727.43","yes","379937.44","0","0","0","16","0","0","82826","00000113","9819","0","0","0"
"ROT78","","19/12/15","19/12/15","62159.76","yes","53586","0","0","0","16","0","0","82834","00000114","137057","0","0","0"
"ROT78","","19/12/15","19/12/15","17532.24","yes","15114","0","0","0","16","0","0","82839","00000115","137058","0","0","0"
"ROT78","","19/12/15","19/12/15","54190.56","yes","46716","0","0","0","16","0","0","82843","00000116","136872","0","0","0"
"MAL00","","19/12/15","19/12/15","129293.8","yes","111460.18","0","0","0","16","0","0","82538","00000117","3954","0","0","0"
"THE7911","","19/12/15","19/12/15","13139.05","yes","11326.77","0","0","0","16","0","0","82857","00000118","316331396","0","0","0"
"DTC02","","19/12/15","19/12/15","47641.01","yes","41069.84","0","0","0","16","0","0","82866","00000119","8932","0","0","0"
"DTC02","","19/12/15","19/12/15","1796.59","yes","1548.78","0","0","0","16","0","0","82871","00000120","8931","0","0","0"
"TUB00","","19/12/15","19/12/15","6979.62","yes","6016.91","0","0","0","16","0","0","82514","00000121","2249","0","0","0"
"VCI87","","19/12/15","19/12/15","1873.71","yes","1615.27","0","0","0","16","0","0","82888","00000122","312037","0","0","0"
"CCA95TT","","21/12/15","21/12/15","112709.86","yes","97163.67","0","0","0","16","0","0","82897","00000123","4249279","0","0","0"
"SPO12","","21/12/15","21/12/15","53154.94","yes","45823.22","0","0","7480","16","0","0","82904","00000124",".","0","0","0"
"GPA93","","21/12/15","21/12/15","319.68","no","275.59","0","0","0","16","0","0","83051","00000125",".","0","0","0"
"GOSA58","","21/12/15","21/12/15","14384","yes","12400","0","0","0","16","0","0","83346","00000126","1038-1024","0","0","0"
"YIRJ75","","21/12/15","21/12/15","390","yes","0","390","0","0","0","0","0","83633","00000127",".","0","0","0"
"HESA76","","23/12/15","23/12/15","17539.2","yes","15120","0","0","0","16","0","0","83857","00000128","59","0","0","0"
"SPO12","","28/12/15","28/12/15","7012.2","yes","6045","0","0","0","16","0","0","83888","00000129",".","0","0","0"
"GORY93","","29/12/15","29/12/15","168200","yes","145000","0","0","0","16","0","0","83897","00000130",".","0","0","0"
"GORY93","","29/12/15","29/12/15","20722.24","yes","17864","0","0","0","16","0","0","84002","00000131",".","0","0","0"
"DDI","","29/12/15","29/12/15","56699.95","yes","48879.27","0","0","0","16","0","0","84007","00000132",".","0","0","0"
"ROT78","","29/12/15","29/12/15","72785.36","yes","62746","0","0","0","16","0","0","84029","00000133","114877","0","0","0"
"ROT78","","29/12/15","29/12/15","9563.04","yes","8244","0","0","0","16","0","0","84117","00000134",".","0","0","0"
"CCA95TT","","09/01/16","09/01/16","112709.86","yes","97163.67","0","0","0","16","0","0","84333","00000135","4272903","0","0","0"
"AEI98","","26/01/16","26/01/16","7245","yes","6245.69","0","0","0","16","0","0","84383","00000136","2729","0","0","0"
"AOP11","","12/02/16","12/02/16","153143.2","yes","132020","0","0","0","16","0","0","84493","00000137","38559-38483-38481","0","0","0"
"ACE0308","","12/02/16","12/02/16","114240","yes","98482.75","0","0","0","16","0","0","84511","00000138","263458","0","0","0"
"ACE0308","","19/02/16","19/02/16","165759.96","yes","142896.52","0","0","0","16","0","0","84526","00000139","1","0","0","0"
"DTC02","","19/02/16","19/02/16","45863.84","yes","39537.79","0","0","0","16","0","0","84406","00000140","90707-90705-90704","0","0","0"
"DEA710","","19/02/16","19/02/16","84870.24","yes","73164","0","0","0","16","0","0","72401","00000141","I390819","0","0","0"
"MPM12","","20/02/16","20/02/16","7238.4","yes","6240","0","0","0","16","0","0","71218","00000142","793","0","0","0"
"DTRM","","24/02/16","24/02/16","7315","yes","0","7315","0","0","0","0","0","71499","00000143","1358","0","0","0"
"FLU99","","26/02/16","26/02/16","112355.51","yes","96858.2","0","0","0","16","0","0","38262","00000144","18980","0","0","0"
"DDS15","","27/02/16","27/02/16","78905.08","yes","68021.62","0","0","0","16","0","0","82768","00000145","998","0","0","0"
"AOP11","","27/02/16","27/02/16","62118","yes","53550","0","0","0","16","0","0","53673","00000146","38853","0","0","0"
"LETJ53","","29/02/16","29/02/16","2285.99","yes","1970.68","0","0","0","16","0","0","58609","00000147","128","0","0","0"
"SAC09","","29/02/16","29/02/16","81152.73","yes","69959.25","0","0","0","16","0","0","58615","00000148","17242","0","0","0"
"CCA95","","01/03/16","01/03/16","101726.8","yes","87695.52","0","0","0","16","0","0","58631","00000149","4282619","0","0","0"
"CCACDM","","01/03/16","01/03/16","105039.75","yes","90551.51","0","0","0","16","0","0","58636","00000150","4327885","0","0","0"
"PLM86","","03/03/16","03/03/16","434069.56","yes","374197.89","0","0","374195.87","16","0","0","58313","00000151","286107","0","0","0"
"DDS15","","03/03/16","03/03/16","1637.41","yes","1411.56","0","0","0","16","0","0","58355","00000152","104","0","0","0"
"DDS15","","04/03/16","04/03/16","9933.67","yes","8563.51","0","0","0","16","0","0","58868","00000153","1120","0","0","0"
"DDS15","","04/03/16","04/03/16","183.37","yes","158.08","0","0","0","16","0","0","58899","00000154","1098","0","0","0"
