"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","Numfac","Numped","Pedren","canfon"
"2","01PR1026","60","28","0","yes","0","16","0","55920","00000171","","0","0"
"3","01TR1035","52","35","0","yes","0","16","0","55920","00000171","","0","0"
"4","01T1124","170","40","0","yes","0","16","0","55920","00000171","","0","0"
"5","01B45935","112","35","0","yes","0","16","0","55920","00000171","","0","0"
"1","01ARM204","65.18","3200","0","yes","64.32","16","0","55948","00000166","","0","0"
"2","01ARM124","63.285","500","0","yes","0","16","0","55948","00000166","","0","0"
"1","05CAKENTD","886","19","0","yes","830","16","0","55959","00000167","","0","0"
"1","05TUBPVCN4","18.6005","300","0","yes","18.6005","16","0","56429","00000209","","0","0"
"1","01REVH","16811","1","0","yes","16608","16","0","56516","00000210","","0","0"
"1","06ALAPJ34","482.3998","40","0","yes","482.3998","16","0","56521","00000211","","0","0"
"1","01CEMCAZ50","94.181","1020","0","yes","94.181","16","0","56538","00000212","","0","0"
"1","01CEMMCA50","67.657","820","0","yes","66.1638","16","0","56543","00000213","","0","0"
"1","01CEMB","79.0872","400","0","yes","60.2801","16","0","56550","00000214","","0","0"
"1","06ALAPJ34","482.3998","64","0","yes","472.3497","16","0","56689","00000206","","0","0"
"1","0614240","62.0235","6","0","yes","0","16","0","56744","00000207","","0","0"
"2","0614613","57.6477","6","0","yes","0","16","0","56744","00000207","","0","0"
"3","0615248","62.0235","6","0","yes","0","16","0","56744","00000207","","0","0"
"4","0617064","42.3225","6","0","yes","0","16","0","56744","00000207","","0","0"
"5","0618646","105.8112","4","0","yes","0","16","0","56744","00000207","","0","0"
"6","0618647","105.8112","4","0","yes","0","16","0","56744","00000207","","0","0"
"7","0620401","13.13","6","0","yes","0","16","0","56744","00000207","","0","0"
"8","0620402","13.1373","6","0","yes","0","16","0","56744","00000207","","0","0"
"9","0644486","40.133","20","0","yes","0","16","0","56744","00000207","","0","0"
"10","0644489","40.133","30","0","yes","0","16","0","56744","00000207","","0","0"
"1","01CEMZ","100","1020","0","yes","91.3795","16","0","57518","00000217","","0","0"
"1","01CEMCAZ50","94.181","1020","0","yes","94.181","16","0","57550","00000218","","0","0"
